VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
0, 2, -2.62207,  9.55354, -2.06634,  0.17,  0.9878, -0.5351, -0.68387,  0.48603
1, 1, -2.31729,  9.35814, -1.97533,  0.1798,  0.9887,  0.1144, -0.83603,  0.52885
2, 0, -2.16665,  9.82921, -1.96503,  0.1798,  0.9895,  0.60454,  0.51224,  0.60548
3, 0, -2.16665,  9.82921, -1.96503,  0.1798,  0.9895,  0.60454,  0.51224,  0.60548
4, 3, -2.51781,  9.90767, -2.05671,  0.1799,  0.9893,  0.16505,  0.731,  0.65711
5, 2, -2.62207,  9.55354, -2.06634,  0.17,  0.9878, -0.5351, -0.68387,  0.48603
6, 6, -2.9103,  9.67265, -1.42131,  0.1799,  0.9889,  0.08054, -0.88373, -0.45214
7, 5, -2.79743,  9.99895, -1.45776,  0.1802,  0.9895,  0.76541,  0.45588, -0.44668
8, 4, -2.64103,  10.01323, -1.26128,  0.1798,  0.9895,  0.91304,  0.37087,  0.15266
9, 4, -2.64103,  10.01323, -1.26128,  0.1798,  0.9895,  0.91304,  0.37087,  0.15266
10, 7, -2.80951,  9.58437, -1.23972,  0.1699,  0.9878,  0.3984, -0.89505,  0.18197
11, 6, -2.9103,  9.67265, -1.42131,  0.1799,  0.9889,  0.08054, -0.88373, -0.45214
12, 10,  2.57934,  9.89939, -0.20589,  0.1798,  0.9895, -0.90187,  0.42073,  0.10977
13, 9,  2.74244,  9.42744, -0.19767,  0.1699,  0.9878, -0.36063, -0.924,  0.14075
14, 8,  3.00737,  9.61972, -0.01779,  0.1799,  0.9889,  0.12799, -0.8055,  0.58231
15, 8,  3.00737,  9.61972, -0.01779,  0.1799,  0.9889,  0.12799, -0.8055,  0.58231
16, 11,  2.89013,  9.97356, -0.01646,  0.1802,  0.9895, -0.64156,  0.59554,  0.48643
17, 10,  2.57934,  9.89939, -0.20589,  0.1798,  0.9895, -0.90187,  0.42073,  0.10977
18, 14,  2.43048,  9.90995,  0.64965,  0.1798,  0.9895, -0.80578,  0.39148, -0.44707
19, 13,  2.67918,  9.92576,  0.61482,  0.1799,  0.9893, -0.30037,  0.58692, -0.75385
20, 12,  2.76886,  9.58954,  0.65714,  0.17,  0.9878,  0.33428, -0.7759, -0.53833
21, 12,  2.76886,  9.58954,  0.65714,  0.17,  0.9878,  0.33428, -0.7759, -0.53833
22, 15,  2.58087,  9.4721,  0.70039,  0.1798,  0.9887, -0.3258, -0.8952, -0.30917
23, 14,  2.43048,  9.90995,  0.64965,  0.1798,  0.9895, -0.80578,  0.39148, -0.44707
24, 18, -0.85744,  7.53143,  1.51241,  0.2075,  0.9621,  0.83785,  0.03822, -0.53507
25, 17, -0.91028,  7.53386,  1.52976,  0.2075,  0.9602,  0.24488, -0.0252, -0.96422
26, 16, -0.79405,  8.63382,  1.59257,  0.2225,  0.9602, -0.04639, -0.69343,  0.71195
27, 19, -0.96625,  6.42338,  1.41637,  0.1926,  0.9602,  0.56723, -0.07325, -0.82006
28, 17, -0.91028,  7.53386,  1.52976,  0.2075,  0.9602,  0.24488, -0.0252, -0.96422
29, 18, -0.85744,  7.53143,  1.51241,  0.2075,  0.9621,  0.83785,  0.03822, -0.53507
30, 18, -0.85744,  7.53143,  1.51241,  0.2075,  0.9621,  0.83785,  0.03822, -0.53507
31, 20, -0.92991,  6.39766,  1.44385,  0.192,  0.9621,  0.98897, -0.09221, -0.11337
32, 19, -0.96625,  6.42338,  1.41637,  0.1926,  0.9602,  0.56723, -0.07325, -0.82006
33, 20, -0.92991,  6.39766,  1.44385,  0.192,  0.9621,  0.98897, -0.09221, -0.11337
34, 21, -1.03347,  5.40414,  1.45995,  0.179,  0.9602,  0.9884, -0.12201, -0.0868
35, 19, -0.96625,  6.42338,  1.41637,  0.1926,  0.9602,  0.56723, -0.07325, -0.82006
36, 24, -2.85201,  9.67702, -2.11926,  0.1732,  0.9924, -0.32073, -0.90151,  0.26775
37, 23, -2.62207,  9.55354, -2.06634,  0.1673,  0.9924, -0.5351, -0.68387,  0.48603
38, 22, -2.51781,  9.90767, -2.05671,  0.1673,  0.9867,  0.16505,  0.731,  0.65711
39, 22, -2.51781,  9.90767, -2.05671,  0.1673,  0.9867,  0.16505,  0.731,  0.65711
40, 25, -2.67753,  9.99862, -2.06072,  0.1732,  0.9867,  0.6254,  0.55563,  0.54192
41, 24, -2.85201,  9.67702, -2.11926,  0.1732,  0.9924, -0.32073, -0.90151,  0.26775
42, 26, -3.02657,  9.75344, -1.95573,  0.18,  0.9924, -0.07286, -0.97606,  0.17241
43, 24, -2.85201,  9.67702, -2.11926,  0.1732,  0.9924, -0.32073, -0.90151,  0.26775
44, 25, -2.67753,  9.99862, -2.06072,  0.1732,  0.9867,  0.6254,  0.55563,  0.54192
45, 25, -2.67753,  9.99862, -2.06072,  0.1732,  0.9867,  0.6254,  0.55563,  0.54192
46, 27, -2.85901,  10.17272, -1.94137,  0.18,  0.9867,  0.67158,  0.70838,  0.19201
47, 26, -3.02657,  9.75344, -1.95573,  0.18,  0.9924, -0.07286, -0.97606,  0.17241
48, 26, -3.02657,  9.75344, -1.95573,  0.18,  0.9924, -0.07286, -0.97606,  0.17241
49, 27, -2.85901,  10.17272, -1.94137,  0.18,  0.9867,  0.67158,  0.70838,  0.19201
50, 28, -2.88629,  10.06572, -1.66828,  0.1732,  0.9867,  0.9051,  0.41295,  0.06323
51, 28, -2.88629,  10.06572, -1.66828,  0.1732,  0.9867,  0.9051,  0.41295,  0.06323
52, 29, -3.08157,  9.77468, -1.69895,  0.1732,  0.9924, -0.02989, -0.99122, -0.06876
53, 26, -3.02657,  9.75344, -1.95573,  0.18,  0.9924, -0.07286, -0.97606,  0.17241
