VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
0, 2, -0.79826,  16.16843,  0.81311,  0.485,  0.0299, -0.12279, -0.01425,  0.99233
1, 1, -0.75738,  16.22583,  0.81899,  0.4701,  0.0111, -0.12416, -0.01325,  0.99217
2, 0, -0.80398,  16.22606,  0.8121,  0.4857,  0.0111, -0.14632,  0.00283,  0.98923
3, 2, -0.79826,  16.16843,  0.81311,  0.485,  0.0299, -0.12279, -0.01425,  0.99233
4, 3, -0.74989,  16.18214,  0.81829,  0.4716,  0.0302, -0.09734, -0.03261,  0.99472
5, 1, -0.75738,  16.22583,  0.81899,  0.4701,  0.0111, -0.12416, -0.01325,  0.99217
6, 6,  0.15488,  16.23924,  0.80409,  0.4716,  0.0302,  0.44536, -0.05978,  0.89335
7, 5,  0.15191,  16.28253,  0.80846,  0.4701,  0.0111,  0.42292, -0.03799,  0.90537
8, 4,  0.11037,  16.23028,  0.82567,  0.485,  0.0299,  0.42375, -0.03878,  0.90495
9, 4,  0.11037,  16.23028,  0.82567,  0.485,  0.0299,  0.42375, -0.03878,  0.90495
10, 5,  0.15191,  16.28253,  0.80846,  0.4701,  0.0111,  0.42292, -0.03799,  0.90537
11, 7,  0.10889,  16.28746,  0.82755,  0.4857,  0.0111,  0.40362, -0.01956,  0.91472
12, 10,  0.47539,  16.19618, -0.14962,  0.4379,  0.1879,  0.44325,  0.20498, -0.87264
13, 9,  0.49475,  16.30132, -0.08397,  0.4283,  0.171,  0.58827,  0.68561, -0.4288
14, 8,  0.55995,  16.31718, -0.13505,  0.4368,  0.1622, -0.45097,  0.7753, -0.4422
15, 11,  0.67124,  16.29797, -0.27587,  0.4603,  0.1551,  0.00705,  0.60091, -0.79929
16, 10,  0.47539,  16.19618, -0.14962,  0.4379,  0.1879,  0.44325,  0.20498, -0.87264
17, 8,  0.55995,  16.31718, -0.13505,  0.4368,  0.1622, -0.45097,  0.7753, -0.4422
18, 12,  0.45347,  16.05845, -0.16786,  0.4414,  0.207,  0.39589, -0.11237, -0.9114
19, 10,  0.47539,  16.19618, -0.14962,  0.4379,  0.1879,  0.44325,  0.20498, -0.87264
20, 11,  0.67124,  16.29797, -0.27587,  0.4603,  0.1551,  0.00705,  0.60091, -0.79929
