VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
0, 2, -0.5338,  0.28405,  1.1964,  0.26551,  0.65734,  0.20266,  0.15292, -0.96724
1, 1, -0.536,  0.27275,  1.2142,  0.23878,  0.65734,  0.07124, -0.98177, -0.17624
2, 0, -0.674,  0.25155,  1.1787,  0.23878,  0.41551,  0.25696, -0.95688, -0.13548
3, 0, -0.674,  0.25155,  1.1787,  0.23878,  0.41551,  0.25696, -0.95688, -0.13548
4, 3, -0.6811,  0.26175,  1.1595,  0.26551,  0.41551,  0.30982,  0.20569, -0.92828
5, 2, -0.5338,  0.28405,  1.1964,  0.26551,  0.65734,  0.20266,  0.15292, -0.96724
6, 4, -0.5452,  0.29415,  1.22,  0.29938,  0.65734, -0.09108,  0.97664,  0.19463
7, 2, -0.5338,  0.28405,  1.1964,  0.26551,  0.65734,  0.20266,  0.15292, -0.96724
8, 3, -0.6811,  0.26175,  1.1595,  0.26551,  0.41551,  0.30982,  0.20569, -0.92828
9, 3, -0.6811,  0.26175,  1.1595,  0.26551,  0.41551,  0.30982,  0.20569, -0.92828
10, 0, -0.674,  0.25155,  1.1787,  0.23878,  0.41551,  0.25696, -0.95688, -0.13548
11, 5, -0.7677,  0.21755,  1.1379,  0.23878,  0.22229,  0.72018, -0.69378, -0.00022
12, 5, -0.7677,  0.21755,  1.1379,  0.23878,  0.22229,  0.72018, -0.69378, -0.00022
13, 7, -0.7967,  0.10325,  1.0983,  0.23878,  0.03416,  0.96986, -0.09005,  0.22643
14, 6, -0.7973,  0.12515,  1.0822,  0.26551,  0.03416,  0.63937,  0.47058, -0.60808
15, 5, -0.7677,  0.21755,  1.1379,  0.23878,  0.22229,  0.72018, -0.69378, -0.00022
16, 8, -0.7746,  0.22535,  1.1173,  0.26551,  0.22229,  0.27193,  0.3911, -0.87926
17, 3, -0.6811,  0.26175,  1.1595,  0.26551,  0.41551,  0.30982,  0.20569, -0.92828
18, 6, -0.7973,  0.12515,  1.0822,  0.26551,  0.03416,  0.63937,  0.47058, -0.60808
19, 8, -0.7746,  0.22535,  1.1173,  0.26551,  0.22229,  0.27193,  0.3911, -0.87926
20, 5, -0.7677,  0.21755,  1.1379,  0.23878,  0.22229,  0.72018, -0.69378, -0.00022
