VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
0, 2, -0.30604,  17.06828,  1.03092,  0.8709,  0.5092, -0.08777, -0.97234, -0.21645
1, 1,  0.23818,  17.09518,  0.68942,  0.8709,  0.5092, -0.08777, -0.97234, -0.21645
2, 0, -0.0064,  17.0312,  1.076,  0.8709,  0.5092, -0.08777, -0.97234, -0.21645
3, 5, -0.12209,  14.99983, -1.35036,  0.8009,  0.7213,  0.71342, -0.50206,  0.48885
4, 4, -0.08649,  15.18259, -1.30199,  0.8146,  0.7398,  0.08012, -0.99569, -0.04673
5, 3, -0.32002,  15.07024, -1.25891,  0.8275,  0.707, -0.2623, -0.93291,  0.24675
6, 3, -0.32002,  15.07024, -1.25891,  0.8275,  0.707, -0.2623, -0.93291,  0.24675
7, 6, -0.14913,  14.87543, -1.48705,  0.7836,  0.7034,  0.38872, -0.82438, -0.41146
8, 5, -0.12209,  14.99983, -1.35036,  0.8009,  0.7213,  0.71342, -0.50206,  0.48885
9, 9, -1.30401,  17.14551,  0.37845,  0.65,  0.2259, -0.91765, -0.04899,  0.39434
10, 8, -1.37273,  16.8805,  0.14448,  0.65,  0.2259, -0.95084, -0.02117,  0.3088
11, 7, -1.33538,  16.53086,  0.235,  0.6892,  0.215, -0.91606, -0.04436,  0.39845
12, 7, -1.33538,  16.53086,  0.235,  0.6892,  0.215, -0.91606, -0.04436,  0.39845
13, 10, -1.21499,  16.97275,  0.51474,  0.6892,  0.215, -0.87421, -0.07207,  0.48017
14, 9, -1.30401,  17.14551,  0.37845,  0.65,  0.2259, -0.91765, -0.04899,  0.39434
15, 13,  1.40662,  16.12843,  0.29996,  0.9822,  0.3533, -0.01977,  0.55765,  0.82963
16, 12,  1.4002,  16.12566,  0.26618,  0.9854,  0.3549, -0.7915,  0.15275, -0.59174
17, 11,  1.35107,  16.10981,  0.32236,  0.9848,  0.3466, -0.83133, -0.117,  0.543
18, 14,  1.44559,  16.18196,  0.2201,  0.9848,  0.3639, -0.80091, -0.0948, -0.59127
19, 12,  1.4002,  16.12566,  0.26618,  0.9854,  0.3549, -0.7915,  0.15275, -0.59174
20, 13,  1.40662,  16.12843,  0.29996,  0.9822,  0.3533, -0.01977,  0.55765,  0.82963
21, 13,  1.40662,  16.12843,  0.29996,  0.9822,  0.3533, -0.01977,  0.55765,  0.82963
22, 15,  1.45119,  16.19166,  0.27979,  0.979,  0.3611, -0.32505,  0.32397,  0.88821
23, 14,  1.44559,  16.18196,  0.2201,  0.9848,  0.3639, -0.80091, -0.0948, -0.59127
24, 16,  1.46295,  16.26933,  0.16526,  0.9844,  0.3748, -0.46299, -0.54255, -0.70086
25, 14,  1.44559,  16.18196,  0.2201,  0.9848,  0.3639, -0.80091, -0.0948, -0.59127
26, 15,  1.45119,  16.19166,  0.27979,  0.979,  0.3611, -0.32505,  0.32397,  0.88821
27, 15,  1.45119,  16.19166,  0.27979,  0.979,  0.3611, -0.32505,  0.32397,  0.88821
28, 17,  1.46683,  16.27665,  0.27654,  0.9742,  0.3684, -0.09058, -0.28946,  0.95269
29, 16,  1.46295,  16.26933,  0.16526,  0.9844,  0.3748, -0.46299, -0.54255, -0.70086
30, 16,  1.46295,  16.26933,  0.16526,  0.9844,  0.3748, -0.46299, -0.54255, -0.70086
31, 17,  1.46683,  16.27665,  0.27654,  0.9742,  0.3684, -0.09058, -0.28946,  0.95269
32, 18,  1.40341,  16.32536,  0.14485,  0.9806,  0.3847, -0.12307, -0.69292, -0.71024
33, 17,  1.46683,  16.27665,  0.27654,  0.9742,  0.3684, -0.09058, -0.28946,  0.95269
34, 19,  1.37766,  16.33873,  0.3203,  0.9629,  0.3782,  0.31333, -0.55446,  0.77077
35, 18,  1.40341,  16.32536,  0.14485,  0.9806,  0.3847, -0.12307, -0.69292, -0.71024
36, 18,  1.40341,  16.32536,  0.14485,  0.9806,  0.3847, -0.12307, -0.69292, -0.71024
