VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
0, 2,  0.88822,  14.69114,  0.26052,  0.65771,  0.38331,  0.65433,  0.22733, -0.7115
1, 1,  0.88067,  15.15135,  0.12888,  0.658,  0.24471,  0.48867, -0.08003, -0.85023
2, 0,  0.99572,  14.86946,  0.22,  0.67738,  0.33868,  0.68175,  0.05993, -0.71927
3, 1,  0.88067,  15.15135,  0.12888,  0.658,  0.24471,  0.48867, -0.08003, -0.85023
4, 3,  0.95423,  15.1792,  0.11505,  0.67812,  0.23023,  0.65744,  0.41318, -0.60665
5, 0,  0.99572,  14.86946,  0.22,  0.67738,  0.33868,  0.68175,  0.05993, -0.71927
6, 6, -0.27583,  10.04813,  2.42279,  0.63723,  0.63531,  0.50161, -0.67736, -0.52473
7, 5, -0.2804,  10.02993,  2.4686,  0.62351,  0.63521,  0.2468, -0.78785,  0.54889
8, 4, -0.39567,  10.08976,  2.42511,  0.62351,  0.60185, -0.84626, -0.37683,  0.36469
9, 4, -0.39567,  10.08976,  2.42511,  0.62351,  0.60185, -0.84626, -0.37683,  0.36469
10, 7, -0.3777,  10.09539,  2.37026,  0.63723,  0.60195, -0.48261, -0.40456, -0.76694
11, 6, -0.27583,  10.04813,  2.42279,  0.63723,  0.63531,  0.50161, -0.67736, -0.52473
12, 10, -0.62269,  10.19091,  2.36607,  0.63723,  0.63531, -0.89288, -0.34633,  0.27587
13, 9, -0.60823,  10.19491,  2.32578,  0.62351,  0.63521, -0.50508, -0.32587, -0.7905
14, 8, -0.49856,  10.1544,  2.37704,  0.62351,  0.60185,  0.58984, -0.70533, -0.37873
15, 8, -0.49856,  10.1544,  2.37704,  0.62351,  0.60185,  0.58984, -0.70533, -0.37873
16, 11, -0.51364,  10.15003,  2.41872,  0.63723,  0.60195,  0.16173, -0.69981,  0.68309
17, 10, -0.62269,  10.19091,  2.36607,  0.63723,  0.63531, -0.89288, -0.34633,  0.27587
18, 14, -1.21538,  10.12731,  2.07552,  0.63723,  0.60195, -0.07051, -0.66891, -0.72632
19, 13, -1.0764,  10.17521,  2.12072,  0.63723,  0.63531,  0.9101, -0.36637, -0.18685
20, 12, -1.11594,  10.16298,  2.18464,  0.62351,  0.63521,  0.40749, -0.46151,  0.77844
21, 12, -1.11594,  10.16298,  2.18464,  0.62351,  0.63521,  0.40749, -0.46151,  0.77844
22, 15, -1.27523,  10.10971,  2.16029,  0.62351,  0.60185, -0.65148, -0.68519,  0.3005
23, 14, -1.21538,  10.12731,  2.07552,  0.63723,  0.60195, -0.07051, -0.66891, -0.72632
24, 18, -0.81903,  10.40819,  2.14977,  0.62351,  0.63521, -0.17772, -0.6679, -0.71191
25, 17, -0.6899,  10.44024,  2.19096,  0.62351,  0.60185,  0.88921, -0.38509, -0.24145
26, 16, -0.71061,  10.43434,  2.2329,  0.63723,  0.60195,  0.44241, -0.42531,  0.78258
27, 16, -0.71061,  10.43434,  2.2329,  0.63723,  0.60195,  0.44241, -0.42531,  0.78258
28, 19, -0.85007,  10.40022,  2.2018,  0.63723,  0.63531, -0.66826, -0.6386,  0.36611
29, 18, -0.81903,  10.40819,  2.14977,  0.62351,  0.63521, -0.17772, -0.6679, -0.71191
30, 22, -1.90569,  8.50634,  2.07661,  0.62351,  0.56465, -0.97184, -0.19897,  0.11493
31, 21, -1.88555,  8.51744,  2.0359,  0.63723,  0.56465, -0.50624, -0.05245, -0.8538
32, 20, -1.78888,  8.46209,  2.08642,  0.63723,  0.5936,  0.36282, -0.70635, -0.59636
33, 20, -1.78888,  8.46209,  2.08642,  0.63723,  0.5936,  0.36282, -0.70635, -0.59636
34, 23, -1.79958,  8.43776,  2.14362,  0.62351,  0.5936, -0.04718, -0.81845,  0.55838
35, 22, -1.90569,  8.50634,  2.07661,  0.62351,  0.56465, -0.97184, -0.19897,  0.11493
36, 26, -2.50704,  8.46718,  1.42179,  0.63723,  0.5936, -0.69041, -0.51499, -0.49701
37, 25, -2.40384,  8.49226,  1.40923,  0.62351,  0.5936,  0.47862, -0.40477, -0.76944
38, 24, -2.29363,  8.36152,  1.67213,  0.62351,  0.56465,  0.75415, -0.60134,  0.25476
39, 24, -2.29363,  8.36152,  1.67213,  0.62351,  0.56465,  0.75415, -0.60134,  0.25476
40, 27, -2.40831,  8.3469,  1.72859,  0.63723,  0.56465, -0.29544, -0.64884,  0.68899
41, 26, -2.50704,  8.46718,  1.42179,  0.63723,  0.5936, -0.69041, -0.51499, -0.49701
42, 30, -1.89291,  8.27716,  1.97889,  0.63723,  0.56465, -0.77117,  0.30196, -0.55675
43, 29, -1.69018,  8.13111,  1.90475,  0.63723,  0.5936,  0.00195, -0.49141, -0.8635
44, 28, -1.69135,  8.10986,  1.978,  0.62351,  0.5936, -0.04938, -0.97169,  0.20282
45, 28, -1.69135,  8.10986,  1.978,  0.62351,  0.5936, -0.04938, -0.97169,  0.20282
46, 31, -1.9017,  8.24265,  2.05665,  0.62351,  0.56465, -0.87242, -0.1754,  0.45029
47, 30, -1.89291,  8.27716,  1.97889,  0.63723,  0.56465, -0.77117,  0.30196, -0.55675
48, 34, -1.84449,  8.52206,  2.29648,  0.62351,  0.5936,  0.08727, -0.5175,  0.84139
49, 33, -2.02997,  8.52949,  2.18603,  0.62351,  0.56465, -0.87429, -0.42557,  0.21792
50, 32, -1.98535,  8.54183,  2.12137,  0.63723,  0.56465, -0.33354, -0.51409, -0.7799
51, 32, -1.98535,  8.54183,  2.12137,  0.63723,  0.56465, -0.33354, -0.51409, -0.7799
52, 35, -1.80243,  8.53583,  2.23631,  0.63723,  0.5936,  0.76204, -0.63943, -0.07186
53, 34, -1.84449,  8.52206,  2.29648,  0.62351,  0.5936,  0.08727, -0.5175,  0.84139
54, 38, -2.13269,  8.40399,  1.82016,  0.63723,  0.56465, -0.07893, -0.56686, -0.80957
55, 37, -2.03176,  8.40482,  1.88459,  0.63723,  0.5936,  0.89765, -0.42893, -0.09077
56, 36, -2.06624,  8.39373,  1.92861,  0.62351,  0.5936,  0.22715, -0.57131,  0.7795
