VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
0, 5307,  21.43882,  41.67336,  104.76564,  0.58506,  0.22351,  2.09172E-06,  0.02845, -0.9996,  0.41167,  0.01646
1, 5310,  21.45261,  41.43531,  104.75887,  0.59161,  0.22351, -1.10038E-06,  0.02845, -0.9996,  0.41278,  0.01646
2, 5309,  21.3715,  41.43531,  104.75887,  0.58979,  0.2219, -2.78842E-07,  0.02845, -0.9996,  0.41247,  0.01619
3, 5309,  21.3715,  41.43531,  104.75887,  0.58979,  0.2219, -2.78842E-07,  0.02845, -0.9996,  0.41247,  0.01619
4, 5308,  21.3577,  41.67336,  104.76564,  0.58713,  0.2219,  2.91320E-06,  0.02845, -0.9996,  0.41202,  0.01619
5, 5307,  21.43882,  41.67336,  104.76564,  0.58506,  0.22351,  2.09172E-06,  0.02845, -0.9996,  0.41167,  0.01646
6, 4871, -21.43151,  41.67336,  104.76563,  0.58506,  0.22351, -1.61670E-06,  0.02845, -0.9996,  0.96752,  0.28962
7, 4874, -21.3504,  41.67336,  104.76563,  0.58713,  0.2219, -2.43817E-06,  0.02845, -0.9996,  0.96787,  0.28935
8, 4873, -21.36419,  41.43531,  104.75885,  0.58979,  0.2219,  7.53869E-07,  0.02845, -0.9996,  0.96832,  0.28935
9, 4873, -21.36419,  41.43531,  104.75885,  0.58979,  0.2219,  7.53869E-07,  0.02845, -0.9996,  0.96832,  0.28935
10, 4872, -21.4453,  41.43531,  104.75885,  0.59161,  0.22351,  1.57541E-06,  0.02845, -0.9996,  0.96863,  0.28962
11, 4871, -21.43151,  41.67336,  104.76563,  0.58506,  0.22351, -1.61670E-06,  0.02845, -0.9996,  0.96752,  0.28962
12, 5086,  21.36225,  40.85807, -104.03287,  0.57696,  0.2307, -3.01290E-07,  0.00113,  1.00,  0.75801,  0.0913
13, 5106,  21.3866,  40.51062, -104.03067,  0.58506,  0.2307, -2.21636E-07,  0.00997,  0.99995,  0.75952,  0.0913
14, 5105,  21.46766,  40.51062, -104.03067,  0.58506,  0.22898, -2.81131E-07,  0.01024,  0.99995,  0.75952,  0.09098
15, 5111,  21.50941,  39.50861, -104.01675,  0.59826,  0.22898,  3.80533E-07,  0.01389,  0.9999,  0.76199,  0.09098
16, 5105,  21.46766,  40.51062, -104.03067,  0.58506,  0.22898, -2.81131E-07,  0.01024,  0.99995,  0.75952,  0.09098
17, 5106,  21.3866,  40.51062, -104.03067,  0.58506,  0.2307, -2.21636E-07,  0.00997,  0.99995,  0.75952,  0.0913
18, 5105,  21.46766,  40.51062, -104.03067,  0.58506,  0.22898, -2.81131E-07,  0.01024,  0.99995,  0.75952,  0.09098
19, 5085,  21.44331,  40.85808, -104.03287,  0.57696,  0.22898, -3.77665E-07,  0.00148,  1.00,  0.75801,  0.09098
20, 5086,  21.36225,  40.85807, -104.03287,  0.57696,  0.2307, -3.01290E-07,  0.00113,  1.00,  0.75801,  0.0913
21, 5087,  21.31586,  41.97692, -104.02872,  0.56213,  0.2307,  1.10669E-07, -0.00371,  0.99999,  0.75524,  0.0913
22, 5086,  21.36225,  40.85807, -104.03287,  0.57696,  0.2307, -3.01290E-07,  0.00113,  1.00,  0.75801,  0.0913
23, 5085,  21.44331,  40.85808, -104.03287,  0.57696,  0.22898, -3.77665E-07,  0.00148,  1.00,  0.75801,  0.09098
24, 5085,  21.44331,  40.85808, -104.03287,  0.57696,  0.22898, -3.77665E-07,  0.00148,  1.00,  0.75801,  0.09098
25, 5088,  21.39704,  41.97693, -104.02872,  0.56383,  0.22898,  1.10644E-07, -0.00371,  0.99999,  0.75555,  0.09098
26, 5087,  21.31586,  41.97692, -104.02872,  0.56213,  0.2307,  1.10669E-07, -0.00371,  0.99999,  0.75524,  0.0913
27, 5106,  21.3866,  40.51062, -104.03067,  0.58506,  0.2307, -2.21636E-07,  0.00997,  0.99995,  0.75952,  0.0913
28, 5112,  21.42829,  39.50861, -104.01675,  0.60019,  0.2307,  4.14829E-07,  0.01389,  0.9999,  0.76236,  0.0913
29, 5111,  21.50941,  39.50861, -104.01675,  0.59826,  0.22898,  3.80533E-07,  0.01389,  0.9999,  0.76199,  0.09098
30, 5339,  21.42622,  41.95714,  103.90059,  0.57696,  0.20518, -5.13701E-06, -0.04885, -0.99881,  0.4103,  0.01336
31, 5342,  21.44123,  41.66758,  103.91475,  0.58506,  0.20518, -8.94984E-06, -0.04885, -0.99881,  0.41167,  0.01336
32, 5341,  21.36012,  41.6676,  103.91475,  0.58713,  0.20343, -8.16864E-06, -0.04885, -0.99881,  0.41202,  0.01306
33, 5341,  21.36012,  41.6676,  103.91475,  0.58713,  0.20343, -8.16864E-06, -0.04885, -0.99881,  0.41202,  0.01306
34, 5340,  21.3451,  41.95715,  103.90059,  0.57518,  0.20343, -4.35576E-06, -0.04885, -0.99881,  0.40999,  0.01306
35, 5339,  21.42622,  41.95714,  103.90059,  0.57696,  0.20518, -5.13701E-06, -0.04885, -0.99881,  0.4103,  0.01336
36, 4903, -21.41894,  41.95714,  103.90057,  0.57696,  0.20518,  5.61405E-06, -0.04885, -0.99881,  0.96614,  0.28652
37, 4906, -21.33782,  41.95715,  103.90057,  0.57518,  0.20343,  4.83280E-06, -0.04885, -0.99881,  0.96584,  0.28622
38, 4905, -21.35284,  41.6676,  103.91473,  0.58713,  0.20343,  8.64568E-06, -0.04885, -0.99881,  0.96787,  0.28622
39, 4905, -21.35284,  41.6676,  103.91473,  0.58713,  0.20343,  8.64568E-06, -0.04885, -0.99881,  0.96787,  0.28622
40, 4904, -21.43395,  41.66758,  103.91473,  0.58506,  0.20518,  9.42688E-06, -0.04885, -0.99881,  0.96752,  0.28652
41, 4903, -21.41894,  41.95714,  103.90057,  0.57696,  0.20518,  5.61405E-06, -0.04885, -0.99881,  0.96614,  0.28652
42, 5319,  21.46046,  41.39111,  103.84383,  0.59161,  0.20518,  9.51911E-07, -0.01518, -0.99988,  0.41278,  0.01336
43, 5322,  21.4762,  41.09753,  103.84828,  0.59826,  0.20518,  9.51911E-07, -0.01518, -0.99988,  0.4139,  0.01336
44, 5321,  21.39509,  41.09753,  103.84828,  0.60019,  0.20343,  9.51911E-07, -0.01518, -0.99988,  0.41423,  0.01306
45, 5321,  21.39509,  41.09753,  103.84828,  0.60019,  0.20343,  9.51911E-07, -0.01518, -0.99988,  0.41423,  0.01306
46, 5320,  21.37934,  41.39111,  103.84383,  0.58979,  0.20343,  9.51911E-07, -0.01518, -0.99988,  0.41247,  0.01306
47, 5319,  21.46046,  41.39111,  103.84383,  0.59161,  0.20518,  9.51911E-07, -0.01518, -0.99988,  0.41278,  0.01336
48, 4883, -21.45318,  41.39111,  103.84381,  0.59161,  0.20518, -4.75396E-07, -0.01518, -0.99988,  0.96863,  0.28652
49, 4886, -21.37206,  41.39111,  103.84381,  0.58979,  0.20343, -4.75396E-07, -0.01518, -0.99988,  0.96832,  0.28622
50, 4885, -21.38781,  41.09753,  103.84827,  0.60019,  0.20343, -4.75396E-07, -0.01518, -0.99988,  0.97008,  0.28622
51, 4885, -21.38781,  41.09753,  103.84827,  0.60019,  0.20343, -4.75396E-07, -0.01518, -0.99988,  0.97008,  0.28622
52, 4884, -21.46893,  41.09753,  103.84827,  0.59826,  0.20518, -4.75396E-07, -0.01518, -0.99988,  0.96975,  0.28652
53, 4883, -21.45318,  41.39111,  103.84381,  0.59161,  0.20518, -4.75396E-07, -0.01518, -0.99988,  0.96863,  0.28652
54, 5299,  21.39686,  42.52832,  103.87184,  0.56383,  0.20518, -3.33289E-08, -0.00405, -0.99999,  0.40807,  0.01336
55, 5302,  21.41084,  42.27187,  103.87288,  0.57025,  0.20518,  4.28243E-07, -0.00405, -0.99999,  0.40916,  0.01336
56, 5301,  21.32966,  42.27187,  103.87288,  0.57217,  0.20343,  3.19204E-07, -0.00405, -0.99999,  0.40948,  0.01306
57, 5301,  21.32966,  42.27187,  103.87288,  0.57217,  0.20343,  3.19204E-07, -0.00405, -0.99999,  0.40948,  0.01306
58, 5300,  21.31574,  42.52832,  103.87184,  0.56213,  0.20343, -1.42426E-07, -0.00405, -0.99999,  0.40778,  0.01306
59, 5299,  21.39686,  42.52832,  103.87184,  0.56383,  0.20518, -3.33289E-08, -0.00405, -0.99999,  0.40807,  0.01336
60, 4863, -21.38958,  42.52832,  103.87183,  0.56383,  0.20518,  5.09550E-07, -0.00405, -0.99999,  0.96392,  0.28652
61, 4866, -21.30846,  42.52832,  103.87183,  0.56213,  0.20343,  6.18647E-07, -0.00405, -0.99999,  0.96363,  0.28622
62, 4865, -21.32238,  42.27187,  103.87286,  0.57217,  0.20343,  1.57017E-07, -0.00405, -0.99999,  0.96533,  0.28622
63, 4865, -21.32238,  42.27187,  103.87286,  0.57217,  0.20343,  1.57017E-07, -0.00405, -0.99999,  0.96533,  0.28622
64, 4864, -21.40356,  42.27187,  103.87286,  0.57025,  0.20518,  4.79785E-08, -0.00405, -0.99999,  0.96501,  0.28652
65, 4863, -21.38958,  42.52832,  103.87183,  0.56383,  0.20518,  5.09550E-07, -0.00405, -0.99999,  0.96392,  0.28652
66, 4529, -21.70538,  38.21583, -103.12039,  0.92084,  0.56644, -2.81287E-07,  0.01803,  0.99984,  0.86754,  0.01047
67, 4532, -21.45184,  38.21583, -103.12039,  0.92084,  0.56291, -2.61428E-07,  0.01762,  0.99984,  0.86754,  0.00945
68, 4531, -21.4323,  38.49488, -103.12393,  0.92359,  0.56291, -3.86423E-07,  0.01266,  0.99992,  0.86833,  0.00945
69, 4530, -21.68584,  38.49488, -103.12393,  0.92359,  0.56644, -4.56609E-07,  0.01266,  0.99992,  0.86833,  0.01047
70, 4531, -21.4323,  38.49488, -103.12393,  0.92359,  0.56291, -3.86423E-07,  0.01266,  0.99992,  0.86833,  0.00945
71, 4524, -21.37737,  38.97808, -103.13004,  0.93404,  0.56291, -4.54012E-07,  0.0081,  0.99997,  0.87133,  0.00945
72, 4531, -21.4323,  38.49488, -103.12393,  0.92359,  0.56291, -3.86423E-07,  0.01266,  0.99992,  0.86833,  0.00945
73, 4530, -21.68584,  38.49488, -103.12393,  0.92359,  0.56644, -4.56609E-07,  0.01266,  0.99992,  0.86833,  0.01047
74, 4529, -21.70538,  38.21583, -103.12039,  0.92084,  0.56644, -2.81287E-07,  0.01803,  0.99984,  0.86754,  0.01047
75, 4532, -21.45184,  38.21583, -103.12039,  0.92084,  0.56291, -2.61428E-07,  0.01762,  0.99984,  0.86754,  0.00945
76, 4529, -21.70538,  38.21583, -103.12039,  0.92084,  0.56644, -2.81287E-07,  0.01803,  0.99984,  0.86754,  0.01047
77, 4535, -21.77081,  37.05213, -103.09366,  0.90794,  0.56644, -5.86246E-07,  0.02465,  0.9997,  0.86384,  0.01047
78, 4535, -21.77081,  37.05213, -103.09366,  0.90794,  0.56644, -5.86246E-07,  0.02465,  0.9997,  0.86384,  0.01047
79, 4536, -21.51739,  37.05213, -103.09366,  0.90794,  0.56291, -2.24227E-07,  0.02451,  0.9997,  0.86384,  0.00945
