VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
0, 0, -0.27856,  1.13947, -0.47977,  0.35647,  0.14787, -0.28213, -1.20071, -0.20297
1, 1, -0.28796,  1.12231, -0.3652,  0.33895,  0.09036, -0.28213, -1.20071, -0.20297
2, 2, -0.3116,  1.14243, -0.45135,  0.37504,  0.12546, -0.28213, -1.20071, -0.20297
3, 3, -0.33206,  1.0932, -0.3572,  0.35493,  0.05639,  0.1939, -0.59158, -1.08395
4, 4, -0.28796,  1.12231, -0.3652,  0.33895,  0.09036,  0.1939, -0.59158, -1.08395
5, 5, -0.33061,  1.05303, -0.33502,  0.33437,  0.0325,  0.1939, -0.59158, -1.08395
6, 6, -0.33061,  1.05303, -0.33502,  0.33437,  0.0325,  0.64994, -0.73674, -0.77284
7, 7, -0.28796,  1.12231, -0.3652,  0.33895,  0.09036,  0.64994, -0.73674, -0.77284
8, 8, -0.30143,  1.0543, -0.31168,  0.31603,  0.04844,  0.64994, -0.73674, -0.77284
9, 9, -0.34725,  1.13427, -0.43821,  0.39781,  0.10207,  0.40857, -1.06719, -0.50662
10, 10, -0.28796,  1.12231, -0.3652,  0.33895,  0.09036,  0.40857, -1.06719, -0.50662
11, 11, -0.34921,  1.1109, -0.39055,  0.37903,  0.07025,  0.40857, -1.06719, -0.50662
12, 12, -0.21348,  1.06013, -0.36797,  0.268,  0.08734, -0.70387, -0.81494, -0.63477
13, 13, -0.28796,  1.12231, -0.3652,  0.33895,  0.09036, -0.70387, -0.81494, -0.63477
14, 14, -0.21444,  1.10016, -0.41828,  0.29088,  0.12793, -0.70387, -0.81494, -0.63477
15, 15, -0.30143,  1.0543, -0.31168,  0.31603,  0.04844, -0.25224, -0.72583, -0.98592
16, 16, -0.28796,  1.12231, -0.3652,  0.33895,  0.09036, -0.25224, -0.72583, -0.98592
17, 17, -0.26402,  1.03449, -0.30667,  0.28386,  0.04005, -0.25224, -0.72583, -0.98592
