VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD4.x, TEXCOORD4.y, TEXCOORD4.z, TEXCOORD4.w, TEXCOORD5.x, TEXCOORD5.y, TEXCOORD5.z, TEXCOORD5.w
0, 0, -0.31471,  0.11723,  0.0655,  0.61539,  0.06405,  0.61539,  0.06405, -0.59324,  0.80366, -0.04683,  0.71263,  0.4972, -0.49493,  1.00,  1.00,  1.00,  1.00,  1.00
1, 1, -0.3147,  0.11252,  0.07241,  0.61157,  0.05713,  0.61157,  0.05713, -0.94234, -0.27328,  0.19318, -0.32212,  0.89719, -0.30213,  1.00,  1.00,  1.00,  1.00,  1.00
2, 2, -0.31286,  0.11818,  0.07264,  0.61452,  0.05511,  0.61452,  0.05511, -0.46514,  0.86376,  0.1938,  0.76292,  0.50219, -0.40714,  1.00,  1.00,  1.00,  1.00,  1.00
3, 1, -0.3147,  0.11252,  0.07241,  0.61157,  0.05713,  0.61157,  0.05713, -0.94234, -0.27328,  0.19318, -0.32212,  0.89719, -0.30213,  1.00,  1.00,  1.00,  1.00,  1.00
4, 0, -0.31471,  0.11723,  0.0655,  0.61539,  0.06405,  0.61539,  0.06405, -0.59324,  0.80366, -0.04683,  0.71263,  0.4972, -0.49493,  1.00,  1.00,  1.00,  1.00,  1.00
5, 3, -0.31625,  0.1116,  0.06597,  0.61048,  0.06579,  0.61048,  0.06579, -0.93942, -0.18882,  0.28607, -0.28163,  0.90091, -0.33021,  1.00,  1.00,  1.00,  1.00,  1.00
6, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
7, 3, -0.31625,  0.1116,  0.06597,  0.61048,  0.06579,  0.61048,  0.06579, -0.93942, -0.18882,  0.28607, -0.28163,  0.90091, -0.33021,  1.00,  1.00,  1.00,  1.00,  1.00
8, 0, -0.31471,  0.11723,  0.0655,  0.61539,  0.06405,  0.61539,  0.06405, -0.59324,  0.80366, -0.04683,  0.71263,  0.4972, -0.49493,  1.00,  1.00,  1.00,  1.00,  1.00
9, 3, -0.31625,  0.1116,  0.06597,  0.61048,  0.06579,  0.61048,  0.06579, -0.93942, -0.18882,  0.28607, -0.28163,  0.90091, -0.33021,  1.00,  1.00,  1.00,  1.00,  1.00
10, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
11, 5, -0.31774,  0.10988,  0.06072,  0.60918,  0.0738,  0.60918,  0.0738, -0.93883, -0.14651,  0.31168, -0.25564,  0.90287, -0.34564,  1.00,  1.00,  1.00,  1.00,  1.00
12, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
13, 6, -0.32035,  0.10508,  0.05069,  0.60994,  0.08225,  0.60994,  0.08225, -0.92669, -0.19414,  0.3218, -0.27313,  0.93605, -0.22182,  1.00,  1.00,  1.00,  1.00,  1.00
14, 5, -0.31774,  0.10988,  0.06072,  0.60918,  0.0738,  0.60918,  0.0738, -0.93883, -0.14651,  0.31168, -0.25564,  0.90287, -0.34564,  1.00,  1.00,  1.00,  1.00,  1.00
15, 6, -0.32035,  0.10508,  0.05069,  0.60994,  0.08225,  0.60994,  0.08225, -0.92669, -0.19414,  0.3218, -0.27313,  0.93605, -0.22182,  1.00,  1.00,  1.00,  1.00,  1.00
16, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
17, 7, -0.31931,  0.11037,  0.04796,  0.61691,  0.08241,  0.61691,  0.08241, -0.6746,  0.72771, -0.12391,  0.70819,  0.59064, -0.3868,  1.00,  1.00,  1.00,  1.00,  1.00
18, 3, -0.31625,  0.1116,  0.06597,  0.61048,  0.06579,  0.61048,  0.06579, -0.93942, -0.18882,  0.28607, -0.28163,  0.90091, -0.33021,  1.00,  1.00,  1.00,  1.00,  1.00
19, 8, -0.31396,  0.11185,  0.07183,  0.60923,  0.05833,  0.60923,  0.05833, -0.53637, -0.83789,  0.1012, -0.84389,  0.53417, -0.05002,  1.00,  1.00,  1.00,  1.00,  1.00
20, 1, -0.3147,  0.11252,  0.07241,  0.61157,  0.05713,  0.61157,  0.05713, -0.94234, -0.27328,  0.19318, -0.32212,  0.89719, -0.30213,  1.00,  1.00,  1.00,  1.00,  1.00
21, 8, -0.31396,  0.11185,  0.07183,  0.60923,  0.05833,  0.60923,  0.05833, -0.53637, -0.83789,  0.1012, -0.84389,  0.53417, -0.05002,  1.00,  1.00,  1.00,  1.00,  1.00
22, 3, -0.31625,  0.1116,  0.06597,  0.61048,  0.06579,  0.61048,  0.06579, -0.93942, -0.18882,  0.28607, -0.28163,  0.90091, -0.33021,  1.00,  1.00,  1.00,  1.00,  1.00
23, 9, -0.31544,  0.11048,  0.06557,  0.6076,  0.06678,  0.6076,  0.06678, -0.52872, -0.76275,  0.37239, -0.82597,  0.56341, -0.0187,  1.00,  1.00,  1.00,  1.00,  1.00
24, 5, -0.31774,  0.10988,  0.06072,  0.60918,  0.0738,  0.60918,  0.0738, -0.93883, -0.14651,  0.31168, -0.25564,  0.90287, -0.34564,  1.00,  1.00,  1.00,  1.00,  1.00
25, 9, -0.31544,  0.11048,  0.06557,  0.6076,  0.06678,  0.6076,  0.06678, -0.52872, -0.76275,  0.37239, -0.82597,  0.56341, -0.0187,  1.00,  1.00,  1.00,  1.00,  1.00
26, 3, -0.31625,  0.1116,  0.06597,  0.61048,  0.06579,  0.61048,  0.06579, -0.93942, -0.18882,  0.28607, -0.28163,  0.90091, -0.33021,  1.00,  1.00,  1.00,  1.00,  1.00
27, 9, -0.31544,  0.11048,  0.06557,  0.6076,  0.06678,  0.6076,  0.06678, -0.52872, -0.76275,  0.37239, -0.82597,  0.56341, -0.0187,  1.00,  1.00,  1.00,  1.00,  1.00
28, 5, -0.31774,  0.10988,  0.06072,  0.60918,  0.0738,  0.60918,  0.0738, -0.93883, -0.14651,  0.31168, -0.25564,  0.90287, -0.34564,  1.00,  1.00,  1.00,  1.00,  1.00
29, 10, -0.31643,  0.10858,  0.06132,  0.60678,  0.07326,  0.60678,  0.07326, -0.54185, -0.70186,  0.46238, -0.77656,  0.62851,  0.04399,  1.00,  1.00,  1.00,  1.00,  1.00
30, 11, -0.319,  0.10365,  0.05091,  0.60754,  0.08198,  0.60754,  0.08198, -0.53325, -0.72452,  0.43672, -0.78193,  0.61915,  0.07239,  1.00,  1.00,  1.00,  1.00,  1.00
31, 5, -0.31774,  0.10988,  0.06072,  0.60918,  0.0738,  0.60918,  0.0738, -0.93883, -0.14651,  0.31168, -0.25564,  0.90287, -0.34564,  1.00,  1.00,  1.00,  1.00,  1.00
32, 6, -0.32035,  0.10508,  0.05069,  0.60994,  0.08225,  0.60994,  0.08225, -0.92669, -0.19414,  0.3218, -0.27313,  0.93605, -0.22182,  1.00,  1.00,  1.00,  1.00,  1.00
33, 5, -0.31774,  0.10988,  0.06072,  0.60918,  0.0738,  0.60918,  0.0738, -0.93883, -0.14651,  0.31168, -0.25564,  0.90287, -0.34564,  1.00,  1.00,  1.00,  1.00,  1.00
34, 11, -0.319,  0.10365,  0.05091,  0.60754,  0.08198,  0.60754,  0.08198, -0.53325, -0.72452,  0.43672, -0.78193,  0.61915,  0.07239,  1.00,  1.00,  1.00,  1.00,  1.00
35, 10, -0.31643,  0.10858,  0.06132,  0.60678,  0.07326,  0.60678,  0.07326, -0.54185, -0.70186,  0.46238, -0.77656,  0.62851,  0.04399,  1.00,  1.00,  1.00,  1.00,  1.00
36, 12, -0.30124,  0.11637,  0.05931,  0.63392,  0.06263,  0.63392,  0.06263, -0.053,  0.97624, -0.2101,  0.89107, -0.04874, -0.45125,  1.00,  1.00,  1.00,  1.00,  1.00
37, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
38, 0, -0.31471,  0.11723,  0.0655,  0.61539,  0.06405,  0.61539,  0.06405, -0.59324,  0.80366, -0.04683,  0.71263,  0.4972, -0.49493,  1.00,  1.00,  1.00,  1.00,  1.00
39, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
40, 12, -0.30124,  0.11637,  0.05931,  0.63392,  0.06263,  0.63392,  0.06263, -0.053,  0.97624, -0.2101,  0.89107, -0.04874, -0.45125,  1.00,  1.00,  1.00,  1.00,  1.00
41, 13, -0.30355,  0.11431,  0.05259,  0.63201,  0.07304,  0.63201,  0.07304, -0.12607,  0.95553, -0.2666,  0.91766,  0.01023, -0.39724,  1.00,  1.00,  1.00,  1.00,  1.00
42, 14, -0.30872,  0.11145,  0.04516,  0.62847,  0.08263,  0.62847,  0.08263, -0.14851,  0.94527, -0.29053,  0.94116,  0.04492, -0.33496,  1.00,  1.00,  1.00,  1.00,  1.00
43, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
44, 13, -0.30355,  0.11431,  0.05259,  0.63201,  0.07304,  0.63201,  0.07304, -0.12607,  0.95553, -0.2666,  0.91766,  0.01023, -0.39724,  1.00,  1.00,  1.00,  1.00,  1.00
45, 4, -0.31713,  0.11393,  0.05766,  0.61648,  0.07413,  0.61648,  0.07413, -0.68011,  0.72629, -0.09977,  0.65135,  0.53618, -0.5369,  1.00,  1.00,  1.00,  1.00,  1.00
46, 14, -0.30872,  0.11145,  0.04516,  0.62847,  0.08263,  0.62847,  0.08263, -0.14851,  0.94527, -0.29053,  0.94116,  0.04492, -0.33496,  1.00,  1.00,  1.00,  1.00,  1.00
