VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD4.x, TEXCOORD4.y, TEXCOORD4.z, TEXCOORD4.w, TEXCOORD5.x, TEXCOORD5.y, TEXCOORD5.z, TEXCOORD5.w
0, 0, -0.1183,  0.06778,  0.06961,  0.0327,  0.94018,  0.0327,  0.94018,  0.59533, -0.09128,  0.79828,  0.65721,  0.62689, -0.41844,  1.00,  1.00,  1.00,  1.00,  1.00
1, 1, -0.12364,  0.07342,  0.06655,  0.03328,  0.94178,  0.03328,  0.94178,  0.48959,  0.76155,  0.42467, -0.03528,  0.50394, -0.86302,  1.00,  1.00,  1.00,  1.00,  1.00
2, 2, -0.12446,  0.07257,  0.06683,  0.03276,  0.9419,  0.03276,  0.9419, -0.48201, -0.11513,  0.86857,  0.11757,  0.97386,  0.19434,  1.00,  1.00,  1.00,  1.00,  1.00
3, 0, -0.1183,  0.06778,  0.06961,  0.0327,  0.94018,  0.0327,  0.94018,  0.59533, -0.09128,  0.79828,  0.65721,  0.62689, -0.41844,  1.00,  1.00,  1.00,  1.00,  1.00
4, 3, -0.1223,  0.07102,  0.06596,  0.03339,  0.94109,  0.03339,  0.94109,  0.74443,  0.57027, -0.3473, -0.37562, -0.07236, -0.92394,  1.00,  1.00,  1.00,  1.00,  1.00
5, 1, -0.12364,  0.07342,  0.06655,  0.03328,  0.94178,  0.03328,  0.94178,  0.48959,  0.76155,  0.42467, -0.03528,  0.50394, -0.86302,  1.00,  1.00,  1.00,  1.00,  1.00
6, 3, -0.1223,  0.07102,  0.06596,  0.03339,  0.94109,  0.03339,  0.94109,  0.74443,  0.57027, -0.3473, -0.37562, -0.07236, -0.92394,  1.00,  1.00,  1.00,  1.00,  1.00
7, 0, -0.1183,  0.06778,  0.06961,  0.0327,  0.94018,  0.0327,  0.94018,  0.59533, -0.09128,  0.79828,  0.65721,  0.62689, -0.41844,  1.00,  1.00,  1.00,  1.00,  1.00
8, 4, -0.11809,  0.06692,  0.06882,  0.03265,  0.93997,  0.03265,  0.93997,  0.58485, -0.45727,  0.66997,  0.0817,  0.85496,  0.51221,  1.00,  1.00,  1.00,  1.00,  1.00
9, 5, -0.12292,  0.07038,  0.06621,  0.03241,  0.94132,  0.03241,  0.94132, -0.64354, -0.62809,  0.43745,  0.06363,  0.52565,  0.84832,  1.00,  1.00,  1.00,  1.00,  1.00
10, 0, -0.1183,  0.06778,  0.06961,  0.0327,  0.94018,  0.0327,  0.94018,  0.59533, -0.09128,  0.79828,  0.65721,  0.62689, -0.41844,  1.00,  1.00,  1.00,  1.00,  1.00
11, 2, -0.12446,  0.07257,  0.06683,  0.03276,  0.9419,  0.03276,  0.9419, -0.48201, -0.11513,  0.86857,  0.11757,  0.97386,  0.19434,  1.00,  1.00,  1.00,  1.00,  1.00
12, 0, -0.1183,  0.06778,  0.06961,  0.0327,  0.94018,  0.0327,  0.94018,  0.59533, -0.09128,  0.79828,  0.65721,  0.62689, -0.41844,  1.00,  1.00,  1.00,  1.00,  1.00
13, 5, -0.12292,  0.07038,  0.06621,  0.03241,  0.94132,  0.03241,  0.94132, -0.64354, -0.62809,  0.43745,  0.06363,  0.52565,  0.84832,  1.00,  1.00,  1.00,  1.00,  1.00
14, 4, -0.11809,  0.06692,  0.06882,  0.03265,  0.93997,  0.03265,  0.93997,  0.58485, -0.45727,  0.66997,  0.0817,  0.85496,  0.51221,  1.00,  1.00,  1.00,  1.00,  1.00
15, 2, -0.12446,  0.07257,  0.06683,  0.03276,  0.9419,  0.03276,  0.9419, -0.48201, -0.11513,  0.86857,  0.11757,  0.97386,  0.19434,  1.00,  1.00,  1.00,  1.00,  1.00
16, 6, -0.12882,  0.07541,  0.06292,  0.03215,  0.94342,  0.03215,  0.94342, -0.69866, -0.58305,  0.41465, -0.13683,  0.67775,  0.72245,  1.00,  1.00,  1.00,  1.00,  1.00
17, 5, -0.12292,  0.07038,  0.06621,  0.03241,  0.94132,  0.03241,  0.94132, -0.64354, -0.62809,  0.43745,  0.06363,  0.52565,  0.84832,  1.00,  1.00,  1.00,  1.00,  1.00
18, 6, -0.12882,  0.07541,  0.06292,  0.03215,  0.94342,  0.03215,  0.94342, -0.69866, -0.58305,  0.41465, -0.13683,  0.67775,  0.72245,  1.00,  1.00,  1.00,  1.00,  1.00
19, 2, -0.12446,  0.07257,  0.06683,  0.03276,  0.9419,  0.03276,  0.9419, -0.48201, -0.11513,  0.86857,  0.11757,  0.97386,  0.19434,  1.00,  1.00,  1.00,  1.00,  1.00
