VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD4.x, TEXCOORD4.y, TEXCOORD4.z, TEXCOORD4.w, TEXCOORD5.x, TEXCOORD5.y, TEXCOORD5.z, TEXCOORD5.w
0, 0,  0.0721, -0.10452, -0.1053,  0.04421,  0.91101,  0.04421,  0.91101,  0.06819,  0.96482, -0.19867, -0.38932, -0.17015, -0.90052,  1.00,  1.00,  1.00,  1.00,  1.00
1, 1,  0.04398, -0.09461, -0.07077,  0.0328,  0.94358,  0.0328,  0.94358,  0.43079,  0.83445,  0.3309, -0.27397,  0.4583, -0.82841,  1.00,  1.00,  1.00,  1.00,  1.00
2, 2,  0.08017, -0.09986, -0.08477,  0.02573,  0.91383,  0.02573,  0.91383,  0.33877,  0.87521,  0.33246, -0.40102,  0.44284, -0.78655,  1.00,  1.00,  1.00,  1.00,  1.00
3, 0,  0.0721, -0.10452, -0.1053,  0.04421,  0.91101,  0.04421,  0.91101,  0.06819,  0.96482, -0.19867, -0.38932, -0.17015, -0.90052,  1.00,  1.00,  1.00,  1.00,  1.00
4, 2,  0.08017, -0.09986, -0.08477,  0.02573,  0.91383,  0.02573,  0.91383,  0.33877,  0.87521,  0.33246, -0.40102,  0.44284, -0.78655,  1.00,  1.00,  1.00,  1.00,  1.00
5, 3,  0.09836, -0.10303, -0.10221,  0.03017,  0.89828,  0.03017,  0.89828,  0.21481,  0.96095, -0.08058, -0.6108,  0.06035, -0.7804,  1.00,  1.00,  1.00,  1.00,  1.00
6, 2,  0.08017, -0.09986, -0.08477,  0.02573,  0.91383,  0.02573,  0.91383,  0.33877,  0.87521,  0.33246, -0.40102,  0.44284, -0.78655,  1.00,  1.00,  1.00,  1.00,  1.00
7, 4,  0.10146, -0.10409, -0.09744,  0.02541,  0.89905,  0.02541,  0.89905,  0.41153,  0.79758,  0.42934, -0.48963,  0.58078, -0.63046,  1.00,  1.00,  1.00,  1.00,  1.00
8, 3,  0.09836, -0.10303, -0.10221,  0.03017,  0.89828,  0.03017,  0.89828,  0.21481,  0.96095, -0.08058, -0.6108,  0.06035, -0.7804,  1.00,  1.00,  1.00,  1.00,  1.00
9, 5,  0.11971, -0.10964, -0.10754,  0.02504,  0.88229,  0.02504,  0.88229,  0.28181,  0.85533,  0.41719, -0.4353,  0.49077, -0.74326,  1.00,  1.00,  1.00,  1.00,  1.00
10, 3,  0.09836, -0.10303, -0.10221,  0.03017,  0.89828,  0.03017,  0.89828,  0.21481,  0.96095, -0.08058, -0.6108,  0.06035, -0.7804,  1.00,  1.00,  1.00,  1.00,  1.00
11, 4,  0.10146, -0.10409, -0.09744,  0.02541,  0.89905,  0.02541,  0.89905,  0.41153,  0.79758,  0.42934, -0.48963,  0.58078, -0.63046,  1.00,  1.00,  1.00,  1.00,  1.00
12, 3,  0.09836, -0.10303, -0.10221,  0.03017,  0.89828,  0.03017,  0.89828,  0.21481,  0.96095, -0.08058, -0.6108,  0.06035, -0.7804,  1.00,  1.00,  1.00,  1.00,  1.00
13, 5,  0.11971, -0.10964, -0.10754,  0.02504,  0.88229,  0.02504,  0.88229,  0.28181,  0.85533,  0.41719, -0.4353,  0.49077, -0.74326,  1.00,  1.00,  1.00,  1.00,  1.00
14, 6,  0.11226, -0.10829, -0.1216,  0.035,  0.88133,  0.035,  0.88133,  0.22581,  0.95996,  0.05349, -0.4592,  0.14448, -0.8706,  1.00,  1.00,  1.00,  1.00,  1.00
15, 6,  0.11226, -0.10829, -0.1216,  0.035,  0.88133,  0.035,  0.88133,  0.22581,  0.95996,  0.05349, -0.4592,  0.14448, -0.8706,  1.00,  1.00,  1.00,  1.00,  1.00
16, 5,  0.11971, -0.10964, -0.10754,  0.02504,  0.88229,  0.02504,  0.88229,  0.28181,  0.85533,  0.41719, -0.4353,  0.49077, -0.74326,  1.00,  1.00,  1.00,  1.00,  1.00
17, 7,  0.14107, -0.10899, -0.15262,  0.04512,  0.85165,  0.04512,  0.85165, -0.10386,  0.95234, -0.22922, -0.49715, -0.25081, -0.8298,  1.00,  1.00,  1.00,  1.00,  1.00
18, 7,  0.14107, -0.10899, -0.15262,  0.04512,  0.85165,  0.04512,  0.85165, -0.10386,  0.95234, -0.22922, -0.49715, -0.25081, -0.8298,  1.00,  1.00,  1.00,  1.00,  1.00
19, 5,  0.11971, -0.10964, -0.10754,  0.02504,  0.88229,  0.02504,  0.88229,  0.28181,  0.85533,  0.41719, -0.4353,  0.49077, -0.74326,  1.00,  1.00,  1.00,  1.00,  1.00
20, 8,  0.15508, -0.10714, -0.13224,  0.02985,  0.84987,  0.02985,  0.84987,  0.12037,  0.9714,  0.12157, -0.46826,  0.15776, -0.86714,  1.00,  1.00,  1.00,  1.00,  1.00
21, 9,  0.1862, -0.1097, -0.16421,  0.0358,  0.81734,  0.0358,  0.81734,  0.07625,  0.97883, -0.00302, -0.41127,  0.02432, -0.9104,  1.00,  1.00,  1.00,  1.00,  1.00
22, 7,  0.14107, -0.10899, -0.15262,  0.04512,  0.85165,  0.04512,  0.85165, -0.10386,  0.95234, -0.22922, -0.49715, -0.25081, -0.8298,  1.00,  1.00,  1.00,  1.00,  1.00
23, 8,  0.15508, -0.10714, -0.13224,  0.02985,  0.84987,  0.02985,  0.84987,  0.12037,  0.9714,  0.12157, -0.46826,  0.15776, -0.86714,  1.00,  1.00,  1.00,  1.00,  1.00
24, 7,  0.14107, -0.10899, -0.15262,  0.04512,  0.85165,  0.04512,  0.85165, -0.10386,  0.95234, -0.22922, -0.49715, -0.25081, -0.8298,  1.00,  1.00,  1.00,  1.00,  1.00
25, 9,  0.1862, -0.1097, -0.16421,  0.0358,  0.81734,  0.0358,  0.81734,  0.07625,  0.97883, -0.00302, -0.41127,  0.02432, -0.9104,  1.00,  1.00,  1.00,  1.00,  1.00
26, 10,  0.18147, -0.11267, -0.18409,  0.04603,  0.8155,  0.04603,  0.8155, -0.22279,  0.77204, -0.57246, -0.4478, -0.59637, -0.65852,  1.00,  1.00,  1.00,  1.00,  1.00
27, 10,  0.18147, -0.11267, -0.18409,  0.04603,  0.8155,  0.04603,  0.8155, -0.22279,  0.77204, -0.57246, -0.4478, -0.59637, -0.65852,  1.00,  1.00,  1.00,  1.00,  1.00
28, 9,  0.1862, -0.1097, -0.16421,  0.0358,  0.81734,  0.0358,  0.81734,  0.07625,  0.97883, -0.00302, -0.41127,  0.02432, -0.9104,  1.00,  1.00,  1.00,  1.00,  1.00
29, 11,  0.21118, -0.11105, -0.19606,  0.04626,  0.79006,  0.04626,  0.79006, -0.30988,  0.89701, -0.25189, -0.46438, -0.37268, -0.80092,  1.00,  1.00,  1.00,  1.00,  1.00
30, 12,  0.16676, -0.13147, -0.18636,  0.06497,  0.82011,  0.06497,  0.82011, -0.46068,  0.0784, -0.88325, -0.19847, -0.9619,  0.01033,  1.00,  1.00,  1.00,  1.00,  1.00
31, 10,  0.18147, -0.11267, -0.18409,  0.04603,  0.8155,  0.04603,  0.8155, -0.22279,  0.77204, -0.57246, -0.4478, -0.59637, -0.65852,  1.00,  1.00,  1.00,  1.00,  1.00
32, 11,  0.21118, -0.11105, -0.19606,  0.04626,  0.79006,  0.04626,  0.79006, -0.30988,  0.89701, -0.25189, -0.46438, -0.37268, -0.80092,  1.00,  1.00,  1.00,  1.00,  1.00
33, 12,  0.16676, -0.13147, -0.18636,  0.06497,  0.82011,  0.06497,  0.82011, -0.46068,  0.0784, -0.88325, -0.19847, -0.9619,  0.01033,  1.00,  1.00,  1.00,  1.00,  1.00
34, 11,  0.21118, -0.11105, -0.19606,  0.04626,  0.79006,  0.04626,  0.79006, -0.30988,  0.89701, -0.25189, -0.46438, -0.37268, -0.80092,  1.00,  1.00,  1.00,  1.00,  1.00
35, 13,  0.2035, -0.13148, -0.21831,  0.06565,  0.78664,  0.06565,  0.78664, -0.53702,  0.10889, -0.83545, -0.1317, -0.97088, -0.05046,  1.00,  1.00,  1.00,  1.00,  1.00
36, 13,  0.2035, -0.13148, -0.21831,  0.06565,  0.78664,  0.06565,  0.78664, -0.53702,  0.10889, -0.83545, -0.1317, -0.97088, -0.05046,  1.00,  1.00,  1.00,  1.00,  1.00
37, 11,  0.21118, -0.11105, -0.19606,  0.04626,  0.79006,  0.04626,  0.79006, -0.30988,  0.89701, -0.25189, -0.46438, -0.37268, -0.80092,  1.00,  1.00,  1.00,  1.00,  1.00
38, 14,  0.22059, -0.1136, -0.22372,  0.05751,  0.77307,  0.05751,  0.77307, -0.49646,  0.56234, -0.64802, -0.32939, -0.8006, -0.47319,  1.00,  1.00,  1.00,  1.00,  1.00
39, 13,  0.2035, -0.13148, -0.21831,  0.06565,  0.78664,  0.06565,  0.78664, -0.53702,  0.10889, -0.83545, -0.1317, -0.97088, -0.05046,  1.00,  1.00,  1.00,  1.00,  1.00
40, 14,  0.22059, -0.1136, -0.22372,  0.05751,  0.77307,  0.05751,  0.77307, -0.49646,  0.56234, -0.64802, -0.32939, -0.8006, -0.47319,  1.00,  1.00,  1.00,  1.00,  1.00
41, 15,  0.2216, -0.13284, -0.22563,  0.06553,  0.76973,  0.06553,  0.76973, -0.2148, -0.37293, -0.89807,  0.15346, -0.90273,  0.35223,  1.00,  1.00,  1.00,  1.00,  1.00
42, 16,  0.20639, -0.1487, -0.20927,  0.07652,  0.78584,  0.07652,  0.78584, -0.03691, -0.78556, -0.59682,  0.3646, -0.55502,  0.73707,  1.00,  1.00,  1.00,  1.00,  1.00
43, 13,  0.2035, -0.13148, -0.21831,  0.06565,  0.78664,  0.06565,  0.78664, -0.53702,  0.10889, -0.83545, -0.1317, -0.97088, -0.05046,  1.00,  1.00,  1.00,  1.00,  1.00
44, 15,  0.2216, -0.13284, -0.22563,  0.06553,  0.76973,  0.06553,  0.76973, -0.2148, -0.37293, -0.89807,  0.15346, -0.90273,  0.35223,  1.00,  1.00,  1.00,  1.00,  1.00
45, 9,  0.1862, -0.1097, -0.16421,  0.0358,  0.81734,  0.0358,  0.81734,  0.07625,  0.97883, -0.00302, -0.41127,  0.02432, -0.9104,  1.00,  1.00,  1.00,  1.00,  1.00
46, 17,  0.19216, -0.11303, -0.14793,  0.02619,  0.81907,  0.02619,  0.81907,  0.15155,  0.8778,  0.42418, -0.4214,  0.43565, -0.78879,  1.00,  1.00,  1.00,  1.00,  1.00
47, 11,  0.21118, -0.11105, -0.19606,  0.04626,  0.79006,  0.04626,  0.79006, -0.30988,  0.89701, -0.25189, -0.46438, -0.37268, -0.80092,  1.00,  1.00,  1.00,  1.00,  1.00
48, 8,  0.15508, -0.10714, -0.13224,  0.02985,  0.84987,  0.02985,  0.84987,  0.12037,  0.9714,  0.12157, -0.46826,  0.15776, -0.86714,  1.00,  1.00,  1.00,  1.00,  1.00
49, 17,  0.19216, -0.11303, -0.14793,  0.02619,  0.81907,  0.02619,  0.81907,  0.15155,  0.8778,  0.42418, -0.4214,  0.43565, -0.78879,  1.00,  1.00,  1.00,  1.00,  1.00
50, 9,  0.1862, -0.1097, -0.16421,  0.0358,  0.81734,  0.0358,  0.81734,  0.07625,  0.97883, -0.00302, -0.41127,  0.02432, -0.9104,  1.00,  1.00,  1.00,  1.00,  1.00
51, 11,  0.21118, -0.11105, -0.19606,  0.04626,  0.79006,  0.04626,  0.79006, -0.30988,  0.89701, -0.25189, -0.46438, -0.37268, -0.80092,  1.00,  1.00,  1.00,  1.00,  1.00
52, 17,  0.19216, -0.11303, -0.14793,  0.02619,  0.81907,  0.02619,  0.81907,  0.15155,  0.8778,  0.42418, -0.4214,  0.43565, -0.78879,  1.00,  1.00,  1.00,  1.00,  1.00
53, 18,  0.21267, -0.10748, -0.15984,  0.02491,  0.80051,  0.02491,  0.80051, -0.08358,  0.96014,  0.19007, -0.38399,  0.13944, -0.91097,  1.00,  1.00,  1.00,  1.00,  1.00
54, 19,  0.10779, -0.10448, -0.13759,  0.04649,  0.88021,  0.04649,  0.88021,  0.04239,  0.94838, -0.26179, -0.40348, -0.22906, -0.88398,  1.00,  1.00,  1.00,  1.00,  1.00
55, 6,  0.11226, -0.10829, -0.1216,  0.035,  0.88133,  0.035,  0.88133,  0.22581,  0.95996,  0.05349, -0.4592,  0.14448, -0.8706,  1.00,  1.00,  1.00,  1.00,  1.00
56, 7,  0.14107, -0.10899, -0.15262,  0.04512,  0.85165,  0.04512,  0.85165, -0.10386,  0.95234, -0.22922, -0.49715, -0.25081, -0.8298,  1.00,  1.00,  1.00,  1.00,  1.00
57, 19,  0.10779, -0.10448, -0.13759,  0.04649,  0.88021,  0.04649,  0.88021,  0.04239,  0.94838, -0.26179, -0.40348, -0.22906, -0.88398,  1.00,  1.00,  1.00,  1.00,  1.00
58, 20,  0.09035, -0.10496, -0.11415,  0.03956,  0.89678,  0.03956,  0.89678,  0.11107,  0.9786, -0.091, -0.40022, -0.05022, -0.91008,  1.00,  1.00,  1.00,  1.00,  1.00
59, 6,  0.11226, -0.10829, -0.1216,  0.035,  0.88133,  0.035,  0.88133,  0.22581,  0.95996,  0.05349, -0.4592,  0.14448, -0.8706,  1.00,  1.00,  1.00,  1.00,  1.00
60, 20,  0.09035, -0.10496, -0.11415,  0.03956,  0.89678,  0.03956,  0.89678,  0.11107,  0.9786, -0.091, -0.40022, -0.05022, -0.91008,  1.00,  1.00,  1.00,  1.00,  1.00
61, 19,  0.10779, -0.10448, -0.13759,  0.04649,  0.88021,  0.04649,  0.88021,  0.04239,  0.94838, -0.26179, -0.40348, -0.22906, -0.88398,  1.00,  1.00,  1.00,  1.00,  1.00
62, 21,  0.08617, -0.10315, -0.13059,  0.052,  0.89904,  0.052,  0.89904, -0.06406,  0.90249, -0.39357, -0.25763, -0.40389, -0.87616,  1.00,  1.00,  1.00,  1.00,  1.00
63, 19,  0.10779, -0.10448, -0.13759,  0.04649,  0.88021,  0.04649,  0.88021,  0.04239,  0.94838, -0.26179, -0.40348, -0.22906, -0.88398,  1.00,  1.00,  1.00,  1.00,  1.00
64, 22,  0.08892, -0.11234, -0.13934,  0.05597,  0.89511,  0.05597,  0.89511, -0.24808,  0.24734, -0.92857, -0.39537, -0.8976, -0.14669,  1.00,  1.00,  1.00,  1.00,  1.00
65, 21,  0.08617, -0.10315, -0.13059,  0.052,  0.89904,  0.052,  0.89904, -0.06406,  0.90249, -0.39357, -0.25763, -0.40389, -0.87616,  1.00,  1.00,  1.00,  1.00,  1.00
